time,throughput_rps
0,30.800000
1,30.800000
2,30.800000
3,30.800000
4,29.792003
5,30.392003
6,30.392003
7,30.392003
8,30.392003
9,31.608483
10,31.608483
11,31.608483
12,31.608483
13,31.608483
14,31.800000
15,32.400000
16,32.400000
17,32.400000
18,32.400000
19,32.000000
20,31.200000
21,31.200000
22,31.200000
23,31.200000
24,32.400000
25,33.600000
26,33.600000
27,33.600000
28,33.600000
29,37.000000
30,38.800000
31,38.800000
32,38.800000
33,38.800000
34,33.400000
35,28.400000
36,28.400000
37,28.400000
38,28.400000
39,17.997002
40,14.797002
41,14.797002
42,14.797002
43,14.797002
44,15.203002
45,15.203002
46,15.203002
47,15.203002
48,15.203002
49,14.800000
50,14.800000
51,14.800000
52,14.800000
53,14.800000
54,15.000000
55,15.000000
56,15.000000
57,15.000000
58,15.000000
59,15.200000
60,15.200000
61,15.200000
62,15.200000
63,15.200000
64,15.000000
65,15.000000
66,15.000000
67,15.000000
68,15.000000
69,14.800000
70,14.800000
71,14.800000
72,14.800000
73,14.800000
74,15.197002
75,15.197002
76,15.197002
77,15.197002
78,15.197002
79,15.003002
80,15.003002
81,15.003002
82,15.003002
83,15.003002
84,15.000000
85,15.000000
86,15.000000
87,15.000000
88,15.000000
89,15.000000
90,15.000000
91,15.000000
92,15.000000
93,15.000000
94,18.600000
95,22.200000
96,22.200000
97,22.200000
98,22.200000
99,35.600000
100,40.600000
101,40.600000
102,40.600000
103,40.600000
104,40.000000
105,39.600000
106,39.600000
107,39.600000
108,39.600000
109,39.600000
110,39.600000
111,39.600000
112,39.600000
113,39.600000
114,39.600000
115,39.600000
116,39.600000
117,39.600000
118,39.600000
119,38.800000
120,38.400000
121,38.400000
122,38.400000
